Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante
camiseta-relincho-blanco-1;TALLA:Color:0;M:0;camiseta-relincho-blanco-1_variante_3;2;22,27678571
camiseta-relincho-blanco-1;TALLA:Color:0;L:0;camiseta-relincho-blanco-1_variante_4;1;22,27678571
camiseta-wilton-blanco-1;TALLA:Color:0;XS:0;camiseta-wilton-blanco-1_variante_1;2;22,27678571
camiseta-wilton-blanco-1;TALLA:Color:0;M:0;camiseta-wilton-blanco-1_variante_2;4;22,27678571
camiseta-wilton-blanco-1;TALLA:Color:0;L:0;camiseta-wilton-blanco-1_variante_3;1;22,27678571
camisa-oxford-celeste-1;TALLA:Color:0;S:0;camisa-oxford-celeste-1_variante_1;2;47,27678571
camisa-oxford-celeste-1;TALLA:Color:0;M:0;camisa-oxford-celeste-1_variante_2;4;47,27678571
camisa-oxford-celeste-1;TALLA:Color:0;L:0;camisa-oxford-celeste-1_variante_3;2;47,27678571
camisa-oxford-celeste-1;TALLA:Color:0;XL:0;camisa-oxford-celeste-1_variante_4;2;47,27678571
camiza-ribera-azul-1;TALLA:Color:0;S:0;camiza-ribera-azul-1_variante_1;2;47,27678571
camiza-ribera-azul-1;TALLA:Color:0;M:0;camiza-ribera-azul-1_variante_2;5;47,27678571
camiza-ribera-azul-1;TALLA:Color:0;L:0;camiza-ribera-azul-1_variante_3;2;47,27678571
camiza-ribera-azul-1;TALLA:Color:0;XL:0;camiza-ribera-azul-1_variante_4;1;47,27678571
camisa-ribera-rojo-1 ;TALLA:Color:0;S:0;camisa-ribera-rojo-1_variante_1 ;1;47,27678571
camisa-ribera-rojo-1 ;TALLA:Color:0;M:0;camisa-ribera-rojo-1_variante_2;2;47,27678571
camisa-ribera-rojo-1 ;TALLA:Color:0;L:0;camisa-ribera-rojo-1_variante_3;1;47,27678571
camisa-ribera-verde-1;TALLA:Color:0;S:0;camisa-ribera-verde-1_variante_1;1;47,27678571
camisa-ribera-verde-1;TALLA:Color:0;M:0;camisa-ribera-verde-1_variante_2;2;47,27678571
camisa-ribera-verde-1;TALLA:Color:0;L:0;camisa-ribera-verde-1_variante_3;1;47,27678571
jersey-pico-sc-acero-1;TALLA:Color:0;S:0;jersey-pico-sc-acero-1_variante_1;2;41,91964286
jersey-pico-sc-acero-1;TALLA:Color:0;M:0;jersey-pico-sc-acero-1_variante_2;4;41,91964286
jersey-pico-sc-acero-1;TALLA:Color:0;L:0;jersey-pico-sc-acero-1_variante_3;2;41,91964286
jersey-pico-sc-acero-1;TALLA:Color:0;XL:0;jersey-pico-sc-acero-1_variante_4;1;41,91964286
jersey-m-crm-estruc-granada-1;TALLA:Color:0;S:0;jersey-m-crm-estruc-granada-1_variante_1;1;44,59821429
jersey-m-crm-estruc-granada-1;TALLA:Color:0;M:0;jersey-m-crm-estruc-granada-1_variante_2;2;44,59821429
jersey-m-crm-estruc-granada-1;TALLA:Color:0;L:0;jersey-m-crm-estruc-granada-1_variante_3;2;44,59821429
jersey-m-cre-estruc-1;TALLA:Color:0;M:0;jersey-m-cre-estruc-1_variante_1;4;44,59821429
jersey-m-cre-estruc-1;TALLA:Color:0;L:0;jersey-m-cre-estruc-1_variante_2;2;44,59821429
jersey-m-cre-estruc-1;TALLA:Color:0;XXL:0;jersey-m-cre-estruc-1_variante_3;1;44,59821429
jersey-m-crm-estruc-cactus-1;TALLA:Color:0;L:0;jersey-m-crm-estruc-cactus-1;2;44,59821429
jersey-pico-coderas-marino-1;TALLA:Color:0;XS:0;jersey-pico-coderas-marino-1;1;44,59821429
jersey-pico-coderas-marino-1;TALLA:Color:0;S:0;jersey-pico-coderas-marino-1_variante_1;3;44,59821429
jersey-pico-coderas-marino-1;TALLA:Color:0;M:0;jersey-pico-coderas-marino-1_variante_2;2;44,59821429
jersey-pico-coderas-marino-1;TALLA:Color:0;L:0;jersey-pico-coderas-marino-1_variante_3;3;44,59821429
jersey-pico-coderas-marino-1;TALLA:Color:0;XL:0;jersey-pico-coderas-marino-1_variante_4;1;44,59821429
chinos-marino-1;TALLA:Color:0;28:0;chinos-marino-1_variante_1;1;44,59821429
chinos-marino-1;TALLA:Color:0;30:0;chinos-marino-1_variante_2;3;44,59821429
chinos-marino-1;TALLA:Color:0;32:0;chinos-marino-1_variante_3;3;44,59821429
