Product ID;Cantidad;Estado
42;2;0
1;5;1
27;0;1
6;7;1
7;11;1
51;0;1
30;5;1
31;0;1
33;2;1
32;0;0
34;0;0
112;3;1
35;0;1
10;2;1
36;0;0
37;4;1
56;0;1
44;0;0
45;0;0
41;0;1
12;2;1
46;0;0
55;4;1
38;0;1
3;6;1
15;2;1
24;7;1
16;7;1
39;0;1
40;0;1
26;9;1
