Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Referencia;En stock;Descripción Corta;Descripción Larga;Fabricante
BARRA D/SONIDO RCA/BSD 7002/10W/80CM;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;44,2848;53HSRAL;14;;;RCA
BARRA D/SONIDO RCA/SR190GB-32-70;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;108,9424;53HSRAM;10;;;RCA
CABLE CARGADOR RCA/T11/TIPO C;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;2,4192;5RCA50A;4;;;RCA
CARGADOR POWER BANK/RCA/K-0358P;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;12,824;5RCA500;12;;;RCA
CARGADOR RCA/AC16/BLANCO;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;7,1456;5RCA506;13;;;RCA
CELULAR BLU G50 MEGA 2019 (116GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;67,5248;100380;4;;;BLU
CELULAR BLU G50 MEGA 2022 (32GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;144,6928;1003104;3;;;BLU
CELULAR BLU J91 1GH (32GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;123,3232;100379;1;;;BLU
