Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca
PLANCHA GALVALUME DURA-TECH 0.30MMX5MT 17PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$21,45;631654;52;NOVACERO
PLANCHA GALVALUME DURA-TECH 0.30MMX6MT 20PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$25,32;631655;181;NOVACERO
PLANCHA GALVALUME DURA-TECH 0.30MMX7MT 22PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$33,41;631656;184;NOVACERO
REYTECHO GALV. (0.30) 2.40 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$11,59;99352169;60;ULTRAFLEX
REYTECHO GALV. (0.30) 3.00 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$11,36;942541;28;ULTRAFLEX
REYTECHO GALV. (0.30) 3.60 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$13,64;99351669;7;ULTRAFLEX
REYTECHO GALV. (0.30) 4.80 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$18,19;99351608;33;ULTRAFLEX
SELLADOR UNISEAL LISO CANECA UNIDAS;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$79,77;466F;3;UNIDAS
SELLADOR UNISEAL LISO GALON UNIDAS;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,73;466A;2;UNIDAS
SIKA EMPASTE INTERIOR (20KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$11,97;99350697;78;SIKA
SIKA PLASTOCRETE 161 - HE (10KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$30,83;3;6;SIKA
SIKA PLASTOCRETE 161 - HE (2KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$6,34;1;11;SIKA
SIKA PLASTOCRETE 161 - HE (4KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$12,47;2;18;SIKA
SIKA PLASTOCRETE DM - (10KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$32,27;47;9;SIKA
SIKA PLASTOCRETE DM - (2KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$7,16;45;5;SIKA
SIKA PLASTOCRETE DM - (4KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$13,50;46;9;SIKA
SIKA SELLADOR (5KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,13;D91018471;9;SIKA
SOLDADURA AGA 6011 1/8 20KG;CONSTRUCCIÓN;SOLDADURAS;CONSTRUCCIÓN/SOLDADURAS;$128,22;91011816;1.79;AGA
SOLDADURA ESAB OK 6011 1/8 FND.(1KG);CONSTRUCCIÓN;SOLDADURAS;CONSTRUCCIÓN/SOLDADURAS;$4,36;10J6OK2265325X351;683;ESAB
