Código de producto;Nombre del producto;Categoría;Subcategoría;CATEGOR;Inventario inicial;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
010343932937        ;IMPRESORA EPSON PM-525 FOTOGRAFICA - +5R - USB - MICRO USB - PORTABLE - PICTURE MATE;Impresoras;Fotográfica;Impresoras,Fotográfica;1;IMPRESORA EPSON PM-525 FOTOGRAFICA - +5R - USB - MICRO USB - PORTABLE - PICTURE MATE;"Impresora fotográfica portátil e inalámbrica.

FUNCIONES: Imprime
TECNOLOGIA DE IMPRESION: MicroPiezo® de 4 colores (CMYK)
RESOLUCION: Hasta 5760 dpi x 1440 dpi.
VELOCIDAD IMPRESION: Aprox. 36 seg por Foto (sin margen/borde).
FORMATO: Hasta 13x18cm (5""x7"").
CONECTIVIDAD: USB / WiFi / Wi-Fi Direct / PictBridge
VISOR: Pantalla LCD de 2,7 pulg
TINTAS: T376020 (Cartucho de cuatro colores de capacidad estándar)
INCLUYE: Cartucho de Inicialización / Caja de mantenimiento adicional
GARANTIA: 1 AÑO";Epson
C31CH51001          ;IMPRESORA EPSON TM-T20III-001 - TERMICA - USB - SERIAL - NEGRA;Impresoras;Puntos de Venta;Impresoras,Puntos de Venta;1;IMPRESORA EPSON TM-T20III-001 - TERMICA - USB - SERIAL - NEGRA;"La solución económica, eficiente e ideal para el comercio de las pequeñas y medianas empresas.

FUNCIONES: Imprime 
TECNOLOGIA DE IMPRESION: Térmica de líneas.
VELOCIDAD IMPRESION: 250 mm/s (9,84 pulg/s).
CONECTIVIDAD:  USB + serial / Epson ePOS
CORTADOR: Automático 1,5 millones de cortes.
SUMINISTRO: Papel térmico en rollo
GARANTIA: 1 AÑO";Epson
811080;IMPRESORA TERMICA BEMATECH LR2000 - USB - SERIAL - RJ12 - CORTADOR AUTOMATICO - LOGIC CONTROLS;Impresoras;Puntos de Venta;Impresoras,Puntos de Venta;1;IMPRESORA TERMICA BEMATECH LR2000 - USB - SERIAL - RJ12 - CORTADOR AUTOMATICO - LOGIC CONTROLS;"Impresora de Tickets Bematech LR2000 - Térmica.

FUNCIONES: Impresora de TPV
TECNOLOGIA DE IMPRESION: Térmica.
RESOLUCIÓN: 180 x 180 DPI
ANCHO DE PAPEL: 79.5 mm
MÁXIMO DIAMETRO DEL ROLLO: 71cm
VELOCIDAD IMPRESION: 250 mm/s (9,84 pulg/s).
CONECTIVIDAD:  USB / RJ-11 / Ethernet / Serie
CORTADOR: 1 millones de cortes.
SUMINISTRO: Papel térmico en rollo
GARANTIA: 1 AÑO";Bematech
ZEB-ZD23042-D01G00EZ;IMPRESORA ZEBRA ZD230 - USB - 203DPI - 203 PPP;Impresoras;Etiquetadora;Impresoras,Etiquetadora;1;IMPRESORA ZEBRA ZD230 - USB - 203DPI - 203 PPP;"Impresora Etiquetadora Zebra ZD230
OPERACIÓN CONFIABLE, CONSTRUCCIÓN DE CALIDAD, VALOR INCONFUNDIBLE

FUNCIONES: Impresora de etiquetas
TECNOLOGIA DE IMPRESION: Transferencia térmica o térmica directa.
RESOLUCIÓN: 203 ppp/8 puntos por mm
ANCHO DE IMPRESIÓN: 4.1 pulg.104.14 mm  
LONGITUD MAX DE ETIQUETA: 39,0"" /991 mm
VELOCIDAD IMPRESION: Hasta 6 pulg. / 152 mm por segundo (203 ppp) .
CONECTIVIDAD:  USB / Ethernet / Bluetooth 4.1 / WiFi
GARANTIA: 1 AÑO";Zebra
193199819307        ;"LAPTOP ACER CORE i3 - 4GB - 1TB HDD - 14"" UHD - A514-53-37SC ";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ACER CORE i3 - 4GB - 1TB HDD - 14"" UHD - A514-53-37SC ";"NOMBRE DE PRODUCTO: NX.HUNAL.001
MARCA: ACER
MODELO: A514-53-37SC
PROCESADOR: INTEL CORE i3-1005G1
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" UHD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";Acer
195553345064        ;"LAPTOP ASUS TUF CORE i7 - 8GB - 512GB SSD - 15.6"" FHD - 4GB GTX1650 NVIDIA - FX506LH-HN155";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS TUF CORE i7 - 8GB - 512GB SSD - 15.6"" FHD - 4GB GTX1650 NVIDIA - FX506LH-HN155";"NOMBRE DE PRODUCTO: 90NR0
MARCA: ASUS TUF
MODELO: FX506LH-HN155
PROCESADOR: INTEL CORE i7-10870H
MEMORIA: 8 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15.6 FHD WV
GRÁFICA: 4GB GTX1650 NVIDIA GEFORCE
COLOR: GRIS METAL";Asus
192876670569        ;"LAPTOP ASUS CORE i7 - 8GB - 512GB SSD - 15.6"" FHD - 4GB GTX1650ti - G512LI-BI7N10";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CORE i7 - 8GB - 512GB SSD - 15.6"" FHD - 4GB GTX1650ti - G512LI-BI7N10";"NOMBRE DE PRODUCTO: B08DXRHVLL
MARCA: ASUS ROG
MODELO: G512LI-BI7N10
PROCESADOR: INTEL CORE i7-10750H
MEMORIA: 8 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15.6 FHD
GRÁFICA: 4GB GTX-1650ti NVIDIA GEFORCE
COLOR: ELECTRO PUNK PLASTIC";Asus
195553387712        ;"LAPTOP ASUS ROG RYZEN 7 - 16GB  - 512GB SSD - 15,6"" FHD - 4GB RTX3050 -G513IC-HN050";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS ROG RYZEN 7 - 16GB  - 512GB SSD - 15,6"" FHD - 4GB RTX3050 -G513IC-HN050";"NOMBRE DE PRODUCTO: 90NR0501-M01220
MARCA: ASUS ROG
MODELO: G513IC-HN050
PROCESADOR: AMD RYZEN 7 4800H
MEMORIA: 16 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15.6 FHD
GRÁFICA: 4GB RTX-3050 NVIDIA GEFORCE
COLOR: NEGRA";Asus
195553139137        ;"LAPTOP ASUS CELERON - 4GB - 128GB SSD - 15,6"" FHD - L510MA-WB04";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CELERON - 4GB - 128GB SSD - 15,6"" FHD - L510MA-WB04";"NOMBRE DE PRODUCTO: 90NB0Q65-M06560
MARCA: ASUS
MODELO: L510MA-WB04
PROCESADOR: INTEL CELERON N4020
MEMORIA: 4 GB DDR4
DISCOS: 128 GB SSD
PANTALLA: 15.6 FHD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";Asus
195553164863        ;"LAPTOP ASUS TUF CORE i7 - 8GB - 512GB SSD - 15,6"" FHD 144Hz - 4GB RTX3050Ti - 516PE-AB73";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS TUF CORE i7 - 8GB - 512GB SSD - 15,6"" FHD 144Hz - 4GB RTX3050Ti - 516PE-AB73";"NOMBRE DE PRODUCTO: 90NR0641-M02000
MARCA: ASUS TUF
MODELO: 516PE-AB73
PROCESADOR: INTEL CORE i7-11370H
MEMORIA: 8 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15.6 FHD
GRÁFICA: 4GB RTX-3050Ti NVIDIA GEFORCE 
COLOR: NEGRA";Asus
