Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante;Precio sin iva
polo-russel-marino-1;TALLA:Select:0;M:0;polo-russel-marino-1_variante_2;3;44,95;40,13392857
polo-russel-marino-1;TALLA:Select:0;L:0;polo-russel-marino-1_variante_3;2;44,95;40,13392857
polo-russel-marino-1;TALLA:Select:0;XL:0;polo-russel-marino-1_variante_4;1;44,95;40,13392857
polo-russel-blanco-1;TALLA:Select:0;S:0;polo-russel-blanco-1_variante_1;3;44,95;40,13392857
polo-russel-blanco-1;TALLA:Select:0;M:0;polo-russel-blanco-1_variante_2;5;44,95;40,13392857
polo-russel-blanco-1;TALLA:Select:0;L:0;polo-russel-blanco-1_variante_3;2;44,95;40,13392857
polo-russel-blanco-1;TALLA:Select:0;XL:0;polo-russel-blanco-1_variante_4;1;44,95;40,13392857
polo-brand-blanco-1;TALLA:Select:0;S:0;polo-brand-blanco-1_variante_1;2;36,95;32,99107143
polo-brand-blanco-1;TALLA:Select:0;M:0;polo-brand-blanco-1_variante_2;3;36,95;32,99107143
polo-brand-blanco-1;TALLA:Select:0;L:0;polo-brand-blanco-1_variante_3;2;36,95;32,99107143
polo-brand-sangre-1;TALLA:Select:0;S:0;polo-brand-sangre-1_variante_1;1;36,95;32,99107143
polo-brand-sangre-1;TALLA:Select:0;M:0;polo-brand-sangre-1_variante_2;1;36,95;32,99107143
polo-brand-sangre-1;TALLA:Select:0;L:0;polo-brand-sangre-1_variante_3;1;36,95;32,99107143
polo-turner-marino-1;TALLA:Select:0;XS:0;polo-turner-marino-1_variante_1;1;44,95;40,13392857
polo-turner-marino-1;TALLA:Select:0;S:0;polo-turner-marino-1_variante_2;2;44,95;40,13392857
polo-turner-marino-1;TALLA:Select:0;L:0;polo-turner-marino-1_variante_3;1;44,95;40,13392857
polo-turner-caza-1;TALLA:Select:0;XS:0;polo-turner-caza-1_variante_1;1;44,95;40,13392857
polo-turner-caza-1;TALLA:Select:0;S:0;polo-turner-caza-1_variante_2;3;44,95;40,13392857
polo-turner-caza-1;TALLA:Select:0;M:0;polo-turner-caza-1_variante_3;5;44,95;40,13392857
polo-turner-caza-1;TALLA:Select:0;L:0;polo-turner-caza-1_variante_4;3;44,95;40,13392857
polo-turner-caza-1;TALLA:Select:0;XL:0;polo-turner-caza-1_variante_5;2;44,95;40,13392857
camiseta-banderin-marino-1;TALLA:Select:0;XS:0;camiseta-banderin-marino-1_variante_1;4;24,95;22,27678571
camiseta-banderin-marino-1;TALLA:Select:0;L:0;camiseta-banderin-marino-1_variante_2;2;24,95;22,27678571
camiseta-banderín-blanco-1;TALLA:Select:0;XS:0;camiseta-banderín-blanco-1_variante_1;2;24,95;22,27678571
camiseta-banderín-blanco-1;TALLA:Select:0;S:0;camiseta-banderín-blanco-1_variante_2;2;24,95;22,27678571
camiseta-banderín-blanco-1;TALLA:Select:0;M:0;camiseta-banderín-blanco-1_variante_3;5;24,95;22,27678571
camiseta-banderín-blanco-1;TALLA:Select:0;L:0;camiseta-banderín-blanco-1_variante_4;2;24,95;22,27678571
camiseta-banderin-granada-1;TALLA:Select:0;XS:0;camiseta-banderin-granada-1_variante_1;1;24,95;22,27678571
camiseta-banderin-granada-1;TALLA:Select:0;S:0;camiseta-banderin-granada-1_variante_2;2;24,95;22,27678571
camiseta-banderin-granada-1;TALLA:Select:0;M:0;camiseta-banderin-granada-1_variante_3;2;24,95;22,27678571
camiseta-banderin-granada-1;TALLA:Select:0;L:0;camiseta-banderin-granada-1_variante_4;2;24,95;22,27678571
camiseta-banderin-granada-1;TALLA:Select:0;XL:0;camiseta-banderin-granada-1_variante_5;1;24,95;22,27678571
camiseta-relincho-marino-1;TALLA:Select:0;XS:0;camiseta-relincho-marino-1_variante_1;1;24,95;22,27678571
camiseta-relincho-marino-1;TALLA:Select:0;S:0;camiseta-relincho-marino-1_variante_2;2;24,95;22,27678571
camiseta-relincho-marino-1;TALLA:Select:0;M:0;camiseta-relincho-marino-1_variante_3;2;24,95;22,27678571
camiseta-relincho-marino-1;TALLA:Select:0;L:0;camiseta-relincho-marino-1_variante_4;1;24,95;22,27678571
camiseta-relincho-blanco-1;TALLA:Select:0;XS:0;camiseta-relincho-blanco-1_variante_1;1;24,95;22,27678571
camiseta-relincho-blanco-1;TALLA:Select:0;S:0;camiseta-relincho-blanco-1_variante_2;2;24,95;22,27678571
camiseta-relincho-blanco-1;TALLA:Select:0;M:0;camiseta-relincho-blanco-1_variante_3;2;24,95;22,27678571
camiseta-relincho-blanco-1;TALLA:Select:0;L:0;camiseta-relincho-blanco-1_variante_4;1;24,95;22,27678571
camiseta-wilton-blanco-1;TALLA:Select:0;XS:0;camiseta-wilton-blanco-1_variante_1;2;24,95;22,27678571
camiseta-wilton-blanco-1;TALLA:Select:0;M:0;camiseta-wilton-blanco-1_variante_2;4;24,95;22,27678571
camiseta-wilton-blanco-1;TALLA:Select:0;L:0;camiseta-wilton-blanco-1_variante_3;1;24,95;22,27678571
camisa-oxford-celeste-1;TALLA:Select:0;S:0;camisa-oxford-celeste-1_variante_1;2;52,95;47,27678571
camisa-oxford-celeste-1;TALLA:Select:0;M:0;camisa-oxford-celeste-1_variante_2;4;52,95;47,27678571
camisa-oxford-celeste-1;TALLA:Select:0;L:0;camisa-oxford-celeste-1_variante_3;2;52,95;47,27678571
camisa-oxford-celeste-1;TALLA:Select:0;XL:0;camisa-oxford-celeste-1_variante_4;2;52,95;47,27678571
camiza-ribera-azul-1;TALLA:Select:0;S:0;camiza-ribera-azul-1_variante_1;2;52,95;47,27678571
camiza-ribera-azul-1;TALLA:Select:0;M:0;camiza-ribera-azul-1_variante_2;5;52,95;47,27678571
camiza-ribera-azul-1;TALLA:Select:0;L:0;camiza-ribera-azul-1_variante_3;2;52,95;47,27678571
camiza-ribera-azul-1;TALLA:Select:0;XL:0;camiza-ribera-azul-1_variante_4;1;52,95;47,27678571
camisa-ribera-rojo-1 ;TALLA:Select:0;S:0;camisa-ribera-rojo-1_variante_1 ;1;52,95;47,27678571
camisa-ribera-rojo-1 ;TALLA:Select:0;M:0;camisa-ribera-rojo-1_variante_2;2;52,95;47,27678571
camisa-ribera-rojo-1 ;TALLA:Select:0;L:0;camisa-ribera-rojo-1_variante_3;1;52,95;47,27678571
camisa-ribera-verde-1;TALLA:Select:0;S:0;camisa-ribera-verde-1_variante_1;1;52,95;47,27678571
camisa-ribera-verde-1;TALLA:Select:0;M:0;camisa-ribera-verde-1_variante_2;2;52,95;47,27678571
camisa-ribera-verde-1;TALLA:Select:0;L:0;camisa-ribera-verde-1_variante_3;1;52,95;47,27678571
jersey-pico-sc-acero-1;TALLA:Select:0;S:0;jersey-pico-sc-acero-1_variante_1;2;46,95;41,91964286
jersey-pico-sc-acero-1;TALLA:Select:0;M:0;jersey-pico-sc-acero-1_variante_2;4;46,95;41,91964286
jersey-pico-sc-acero-1;TALLA:Select:0;L:0;jersey-pico-sc-acero-1_variante_3;2;46,95;41,91964286
jersey-pico-sc-acero-1;TALLA:Select:0;XL:0;jersey-pico-sc-acero-1_variante_4;1;46,95;41,91964286
jersey-m-crm-estruc-granada-1;TALLA:Select:0;S:0;jersey-m-crm-estruc-granada-1_variante_1;1;49,95;44,59821429
jersey-m-crm-estruc-granada-1;TALLA:Select:0;M:0;jersey-m-crm-estruc-granada-1_variante_2;2;49,95;44,59821429
jersey-m-crm-estruc-granada-1;TALLA:Select:0;L:0;jersey-m-crm-estruc-granada-1_variante_3;2;49,95;44,59821429
jersey-m-cre-estruc-1;TALLA:Select:0;M:0;jersey-m-cre-estruc-1_variante_1;4;49,95;44,59821429
jersey-m-cre-estruc-1;TALLA:Select:0;L:0;jersey-m-cre-estruc-1_variante_2;2;49,95;44,59821429
jersey-m-cre-estruc-1;TALLA:Select:0;XXL:0;jersey-m-cre-estruc-1_variante_3;1;49,95;44,59821429
jersey-m-crm-estruc-cactus-1;TALLA:Select:0;L:0;jersey-m-crm-estruc-cactus-1;2;49,95;44,59821429
jersey-pico-coderas-marino-1;TALLA:Select:0;XS:0;jersey-pico-coderas-marino-1;1;49,95;44,59821429
jersey-pico-coderas-marino-1;TALLA:Select:0;S:0;jersey-pico-coderas-marino-1_variante_1;3;49,95;44,59821429
jersey-pico-coderas-marino-1;TALLA:Select:0;M:0;jersey-pico-coderas-marino-1_variante_2;2;49,95;44,59821429
jersey-pico-coderas-marino-1;TALLA:Select:0;L:0;jersey-pico-coderas-marino-1_variante_3;3;49,95;44,59821429
jersey-pico-coderas-marino-1;TALLA:Select:0;XL:0;jersey-pico-coderas-marino-1_variante_4;1;49,95;44,59821429
chinos-marino-1;TALLA:Select:0;28:0;chinos-marino-1_variante_1;1;49,95;44,59821429
chinos-marino-1;TALLA:Select:0;30:0;chinos-marino-1_variante_2;3;49,95;44,59821429
chinos-marino-1;TALLA:Select:0;32:0;chinos-marino-1_variante_3;3;49,95;44,59821429
chinos-marino-1;TALLA:Select:0;34:0;chinos-marino-1_variante_4;2;49,95;44,59821429
chinos-camel-1;TALLA:Select:0;30:0;chinos-camel-1_variente_1;3;49,95;44,59821429
chinos-camel-1;TALLA:Select:0;32:0;chinos-camel-1_variente_2;2;49,95;44,59821429
chinos-camel-1;TALLA:Select:0;34:0;chinos-camel-1_variente_3;2;49,95;44,59821429
GORRA-TAVORA-1;TALLA:Select:0;S:0;GORRA-TAVORA-1_variante_1;2;29,95;26,74107143
GORRA-TAVORA-1;TALLA:Select:0;M:0;GORRA-TAVORA-1_variante_2;2;29,95;26,74107143
GORRA-TAVORA-1;TALLA:Select:0;L:0;GORRA-TAVORA-1_variante_3;1;29,95;26,74107143
gorra-leza-1;TALLA:Select:0;S:0;gorra-leza-1_variante_1;1;29,95;26,74107143
gorra-leza-1;TALLA:Select:0;M:0;gorra-leza-1_variante_2;2;29,95;26,74107143
gorra-leza-1;TALLA:Select:0;L:0;gorra-leza-1_variante_3;1;29,95;26,74107143
GORRA-ARADE-1;TALLA:Select:0;S :0;GORRA-ARADE-1_variante_1;2;29,95;26,74107143
GORRA-ARADE-1;TALLA:Select:0;L:0;GORRA-ARADE-1_variante_2;1;29,95;26,74107143
GORRA-103760 NUDE-1;TALLA:Select:0;M:0;GORRA-103760 NUDE-1;5;24,95;22,27678571
gorra-103770-tinto-1;TALLA:Select:0;M:0;gorra-103770-tinto-1;5;24,95;22,27678571
polo-golf-pdt;TALLA:Select:0;S :0;polo-golf-pdt_variante_1;3;44,95;40,13392857
polo-golf-pdt;TALLA:Select:0;M:0;polo-golf-pdt_variante_2;4;44,95;40,13392857
polo-golf-pdt;TALLA:Select:0;L:0;polo-golf-pdt_variante_3;3;44,95;40,13392857
polo-95-pdt;TALLA:Select:0;S :0;polo-95-pdt_variante_1;3;48,95;43,70535714
polo-95-pdt;TALLA:Select:0;M:0;polo-95-pdt_variante_2;4;48,95;43,70535714
polo-95-pdt;TALLA:Select:0;L:0;polo-95-pdt_variante_3;3;48,95;43,70535714
polo-b-tricolor-pdt;TALLA:Select:0;S :0;polo-b-tricolor-pdt_variante_1;3;44,95;40,13392857
polo-b-tricolor-pdt;TALLA:Select:0;M:0;polo-b-tricolor-pdt_variante_2;4;44,95;40,13392857
polo-b-tricolor-pdt;TALLA:Select:0;L:0;polo-b-tricolor-pdt_variante_3;4;44,95;40,13392857
polo-clas-am-pdt;TALLA:Select:0;S :0;polo-clas-am-pdt_variante_1;4;39,95;35,66964286
polo-clas-am-pdt;TALLA:Select:0;M:0;polo-clas-am-pdt_variante_2;6;39,95;35,66964286
polo-clas-am-pdt;TALLA:Select:0;L:0;polo-clas-am-pdt_variante_3;4;39,95;35,66964286
polo-clas-am-pdt;TALLA:Select:0;XL:0;polo-clas-am-pdt_variante_4;2;39,95;35,66964286
polo-es-blanco-pdt;TALLA:Select:0;S :0;polo-es-blanco-pdt_variante_1;4;44,95;40,13392857
polo-es-blanco-pdt;TALLA:Select:0;M:0;polo-es-blanco-pdt_variante_2;5;44,95;40,13392857
polo-es-blanco-pdt;TALLA:Select:0;L:0;polo-es-blanco-pdt_variante_3;4;44,95;40,13392857
polo-franja-bord-pdt;TALLA:Select:0;S :0;polo-franja-bord-pdt_variante_1;3;48,95;43,70535714
polo-franja-bord-pdt;TALLA:Select:0;M:0;polo-franja-bord-pdt_variante_2;4;48,95;43,70535714
polo-franja-bord-pdt;TALLA:Select:0;L:0;polo-franja-bord-pdt_variante_3;4;48,95;43,70535714
polo-ecuestre-pdt;TALLA:Select:0;S :0;polo-ecuestre-pdt_variante_1;4;48,95;43,70535714
polo-ecuestre-pdt;TALLA:Select:0;M:0;polo-ecuestre-pdt_variante_2;6;48,95;43,70535714
polo-ecuestre-pdt;TALLA:Select:0;L:0;polo-ecuestre-pdt_variante_3;4;48,95;43,70535714
polo-bordado-franja-media-pdt;TALLA:Select:0;S :0;polo-bordado-franja-media-pdt_variante_1;3;48,95;43,70535714
polo-bordado-franja-media-pdt;TALLA:Select:0;M:0;polo-bordado-franja-media-pdt_variante_2;4;48,95;43,70535714
polo-bordado-franja-media-pdt;TALLA:Select:0;L:0;polo-bordado-franja-media-pdt_variante_3;3;48,95;43,70535714
polo-ocean-sailing-pdt;TALLA:Select:0;S :0;polo-ocean-sailing-pdt_variante_1;3;48,95;43,70535714
polo-ocean-sailing-pdt;TALLA:Select:0;M:0;polo-ocean-sailing-pdt_variante_2;4;48,95;43,70535714
polo-ocean-sailing-pdt;TALLA:Select:0;L:0;polo-ocean-sailing-pdt_variante_3;3;48,95;43,70535714
camisa-blanca-ox-pdt;TALLA:Select:0;S :0;camisa-blanca-ox-pdt_variante_1;6;52,95;47,27678571
camisa-blanca-ox-pdt;TALLA:Select:0;M:0;camisa-blanca-ox-pdt_variante_2;8;52,95;47,27678571
camisa-blanca-ox-pdt;TALLA:Select:0;L:0;camisa-blanca-ox-pdt_variante_3;6;52,95;47,27678571
camisa-blanca-ox-pdt;TALLA:Select:0;XL:0;camisa-blanca-ox-pdt_variante_4;2;52,95;47,27678571
camisa-celeste-ox-pdt;TALLA:Select:0;S :0;camisa-celeste-ox-pdt_variante_1;6;52,95;47,27678571
camisa-celeste-ox-pdt;TALLA:Select:0;M:0;camisa-celeste-ox-pdt_variante_2;8;52,95;47,27678571
camisa-celeste-ox-pdt;TALLA:Select:0;L:0;camisa-celeste-ox-pdt_variante_3;6;52,95;47,27678571
camisa-salmon-pdt;TALLA:Select:0;S :0;camisa-salmon-pdt_variante_1;2;52,95;47,27678571
camisa-salmon-pdt;TALLA:Select:0;M:0;camisa-salmon-pdt_variante_2;3;52,95;47,27678571
camisa-salmon-pdt;TALLA:Select:0;L:0;camisa-salmon-pdt_variante_3;2;52,95;47,27678571
camia-hat-pdt;TALLA:Select:0;S :0;camia-hat-pdt_variante_1;2;56,95;50,84821429
camia-hat-pdt;TALLA:Select:0;M:0;camia-hat-pdt_variante_2;3;56,95;50,84821429
camia-hat-pdt;TALLA:Select:0;L:0;camia-hat-pdt_variante_3;2;56,95;50,84821429
camisa-es-pdt;TALLA:Select:0;S :0;camisa-es-pdt_variante_1;2;56,95;50,84821429
camisa-es-pdt;TALLA:Select:0;M:0;camisa-es-pdt_variante_2;3;56,95;50,84821429
camisa-es-pdt;TALLA:Select:0;L:0;camisa-es-pdt_variante_3;2;56,95;50,84821429
camisa-ox-rayas-pdt;TALLA:Select:0;S :0;camisa-ox-rayas-pdt_variante_1;6;52,95;47,27678571
camisa-ox-rayas-pdt;TALLA:Select:0;M:0;camisa-ox-rayas-pdt_variante_2;8;52,95;47,27678571
camisa-ox-rayas-pdt;TALLA:Select:0;L:0;camisa-ox-rayas-pdt_variante_3;6;52,95;47,27678571
camisa-ox-rayas-az-pdt;TALLA:Select:0;S :0;camisa-ox-rayas-az-pdt_variante_1;6;52,95;47,27678571
camisa-ox-rayas-az-pdt;TALLA:Select:0;M:0;camisa-ox-rayas-az-pdt_variante_2;8;52,95;47,27678571
camisa-ox-rayas-az-pdt;TALLA:Select:0;L:0;camisa-ox-rayas-az-pdt_variante_3;6;52,95;47,27678571
camisa-pique-am-pdt;TALLA:Select:0;S :0;camisa-pique-am-pdt_variante_1;2;52,95;47,27678571
camisa-pique-am-pdt;TALLA:Select:0;M:0;camisa-pique-am-pdt_variante_2;3;52,95;47,27678571
camisa-pique-am-pdt;TALLA:Select:0;L:0;camisa-pique-am-pdt_variante_3;2;52,95;47,27678571
camisa-pique-vb-pdt;TALLA:Select:0;S :0;camisa-pique-vb-pdt_variante_1;2;52,95;47,27678571
camisa-pique-vb-pdt;TALLA:Select:0;M:0;camisa-pique-vb-pdt_variante_2;3;52,95;47,27678571
camisa-pique-vb-pdt;TALLA:Select:0;L:0;camisa-pique-vb-pdt_variante_3;2;52,95;47,27678571
camisa-cruzada-pdt;TALLA:Select:0;S :0;camisa-cruzada-pdt_variante_1;6;56,95;50,84821429
camisa-cruzada-pdt;TALLA:Select:0;M:0;camisa-cruzada-pdt_variante_2;8;56,95;50,84821429
camisa-cruzada-pdt;TALLA:Select:0;L:0;camisa-cruzada-pdt_variante_3;6;56,95;50,84821429
camisa-esp-am-pdt;TALLA:Select:0;S :0;camisa-esp-am-pdt_variante_1;2;56,95;50,84821429
camisa-esp-am-pdt;TALLA:Select:0;M:0;camisa-esp-am-pdt_variante_2;4;56,95;50,84821429
camisa-esp-am-pdt;TALLA:Select:0;L:0;camisa-esp-am-pdt_variante_3;2;56,95;50,84821429
camisa-esp-bl-pdt;TALLA:Select:0;S :0;camisa-esp-bl-pdt_variante_1;2;56,95;50,84821429
camisa-esp-bl-pdt;TALLA:Select:0;M:0;camisa-esp-bl-pdt_variante_2;4;56,95;50,84821429
camisa-esp-bl-pdt;TALLA:Select:0;L:0;camisa-esp-bl-pdt_variante_3;2;56,95;50,84821429
camisa-esp-ca-pdt;TALLA:Select:0;S :0;camisa-esp-ca-pdt_variante_1;2;56,95;50,84821429
camisa-esp-ca-pdt;TALLA:Select:0;M:0;camisa-esp-ca-pdt_variante_2;4;56,95;50,84821429
camisa-esp-ca-pdt;TALLA:Select:0;L:0;camisa-esp-ca-pdt_variante_3;2;56,95;50,84821429
camisa-med-pdt;TALLA:Select:0;S :0;camisa-med-pdt_variante_1;6;56,95;50,84821429
camisa-med-pdt;TALLA:Select:0;M:0;camisa-med-pdt_variante_2;8;56,95;50,84821429
camisa-med-pdt;TALLA:Select:0;L:0;camisa-med-pdt_variante_3;6;56,95;50,84821429
polo-celeste-rib-pdt;TALLA:Select:0;XS:0;polo-celeste-rib-pdt_variante_1;2;39,95;35,66964286
polo-celeste-rib-pdt;TALLA:Select:0;S :0;polo-celeste-rib-pdt_variante_2;3;39,95;35,66964286
polo-celeste-rib-pdt;TALLA:Select:0;M:0;polo-celeste-rib-pdt_variante_3;3;39,95;35,66964286
polo-es-con-pdt;TALLA:Select:0;XS:0;polo-es-con-pdt_variante_1;2;39,95;35,66964286
polo-es-con-pdt;TALLA:Select:0;S :0;polo-es-con-pdt_variante_2;2;39,95;35,66964286
polo-es-con-pdt;TALLA:Select:0;M:0;polo-es-con-pdt_variante_3;2;39,95;35,66964286
polo-contraste-pdt;TALLA:Select:0;XS:0;polo-contraste-pdt_variantea_1;2;44,95;40,13392857
polo-contraste-pdt;TALLA:Select:0;S :0;polo-contraste-pdt_variantea_2;2;44,95;40,13392857
polo-contraste-pdt;TALLA:Select:0;M:0;polo-contraste-pdt_variantea_3;2;44,95;40,13392857
polo-bordado-espana-rojo-pdt;TALLA:Select:0;XS:0;polo-bordado-espana-rojo-pdt_variante_1;2;44,95;40,13392857
polo-bordado-espana-rojo-pdt;TALLA:Select:0;S:0;polo-bordado-espana-rojo-pdt_variante_2;2;44,95;40,13392857
polo-bordado-espana-rojo-pdt;TALLA:Select:0;M:0;polo-bordado-espana-rojo-pdt_variante_3;3;44,95;40,13392857
polo-capote-blanco-pdt;TALLA:Select:0;XS:0;polo-capote-blanco-pdt_variante_1;2;44,95;40,13392857
polo-capote-blanco-pdt;TALLA:Select:0;S :0;polo-capote-blanco-pdt_variante_2;2;44,95;40,13392857
polo-capote-blanco-pdt;TALLA:Select:0;M:0;polo-capote-blanco-pdt_variante_3;3;44,95;40,13392857
