Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante;Precio sin iva
polo-adams-marino-s22pl0708-001;TALLA:Select:0;XS:0;polo-adams-marino-s22pl0708-001_variante_1;1;44,95;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Select:0;S:0;polo-adams-marino-s22pl0708-001_variante_2;2;44,95;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Select:0;M:0;polo-adams-marino-s22pl0708-001_variante_3;3;44,95;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Select:0;L:0;polo-adams-marino-s22pl0708-001_variante_4;2;44,95;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Select:0;XL:0;polo-adams-marino-s22pl0708-001_variante_5;1;44,95;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Select:0;S:0;polo-adams-tinto-s22pl0708-001_variante_1;2;44,95;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Select:0;M:0;polo-adams-tinto-s22pl0708-001_variante_2;3;44,95;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Select:0;L:0;polo-adams-tinto-s22pl0708-001_variante_3;2;44,95;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Select:0;XL:0;polo-adams-tinto-s22pl0708-001_variante_4;1;44,95;40,13392857
polo-kodak-marino-1;TALLA:Select:0;XS:0;polo-kodak-marino-1_variante_1;1;36,95;32,99107143
polo-kodak-marino-1;TALLA:Select:0;S:0;polo-kodak-marino-1_variante_2;3;36,95;32,99107143
polo-kodak-marino-1;TALLA:Select:0;M:0;polo-kodak-marino-1_variante_3;5;36,95;32,99107143
polo-kodak-marino-1;TALLA:Select:0;L:0;polo-kodak-marino-1_variante_4;2;36,95;32,99107143
polo-kodak-marino-1;TALLA:Select:0;XL:0;polo-kodak-marino-1_variante_5;2;36,95;32,99107143
polo-russel-caza-1;TALLA:Select:0;XS:0;polo-russel-caza-1_variante_1;2;44,95;40,13392857
polo-russel-caza-1;TALLA:Select:0;S:0;polo-russel-caza-1_variante_2;3;44,95;40,13392857
polo-russel-caza-1;TALLA:Select:0;M:0;polo-russel-caza-1_variante_3;5;44,95;40,13392857
polo-russel-caza-1;TALLA:Select:0;L:0;polo-russel-caza-1_variante_4;3;44,95;40,13392857
polo-russel-caza-1;TALLA:Select:0;XL:0;polo-russel-caza-1_variante_5;1;44,95;40,13392857
polo-russel-marino-1;TALLA:Select:0;S:0;polo-russel-marino-1_variante_1;1;44,95;40,13392857
