ID;Número de artículo;Url;jjj;Foto;Borrar
144;187968;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/187968.jpg;1
145;187947;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/187947.jpg;1
146;91010556;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91010556.jpg;1
147;91010554;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91010554.jpg;1
148;91010555;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91010555.jpg;1
149;21;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/21.jpg;1
150;20;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/20.jpg;1
151;91012013;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91012013.jpg;1
152;91010982;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91010982.jpg;1
153;91010984;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91010984.jpg;1
154;91010981;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91010981.jpg;1
155;D91010364;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/D91010364.jpg;1
156;91002485;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91002485.jpg;1
157;10016416;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/10016416.jpg;1
158;91013212;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91013212.jpg;1
159;188410;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/188410.jpg;1
160;925019;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/925019.jpg;1
161;G010050018;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G010050018.jpg;1
162;G010050030;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G010050030.jpg;1
163;G012550030;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G012550030.jpg;1
164;G020050295;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G020050295.jpg;1
165;G006030015;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G006030015.jpg;1
166;G006030018;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G006030018.jpg;1
167;G008040015;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G008040015.jpg;1
168;G008040020;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G008040020.jpg;1
169;G008040030;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G008040030.jpg;1
170;G0080400;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/G0080400.jpg;1
171;99352173;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/99352173.jpg;1
172;C19187V0304003403000;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/C19187V0304003403000.jpg;1
173;91020677;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91020677.jpg;1
174;91020676;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91020676.jpg;1
175;005EMA06-03515;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/005EMA06-03515.jpg;1
176;91001907;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/91001907.jpg;1
177;D91011919;https://dev.velox.ec/mom/upload/fotos/;.jpg;https://dev.velox.ec/mom/upload/fotos/D91011919.jpg;1
