ID;Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca;IVA
144;ALAMBRE GALVANIZADO N- 18 1KG.;CONSTRUCCIÓN;ALAMBRES;CONSTRUCCIÓN/ALAMBRES;$3,71;187968;15;OTROS PROVEEDOR;53
145;ALAMBRE GALVANIZADO N- 18 20 KG.;CONSTRUCCIÓN;ALAMBRES;CONSTRUCCIÓN/ALAMBRES;$53,26;187947;2;OTROS PROVEEDOR;53
146;BLOQUE POMEZ 15 (20X40);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,41;91010556;110;OTROS PROVEEDOR;53
147;BLOQUE POMEZ 7 (40X20);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,27;91010554;2,464;OTROS PROVEEDOR;53
148;BLOQUE POMEZ 9 (40X20);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,30;91010555;9,727;OTROS PROVEEDOR;53
149;BLOQUE VICTORIA 7 (20X40);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,33;21;178;OTROS PROVEEDOR;53
150;BLOQUE VICTORIA 9 (20X40);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,36;20;670;OTROS PROVEEDOR;53
151;BONDEX BLENDMIX PORCE. 25KG INTACO;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$10,67;91012013;154;INTACO;53
152;BONDEX PLUS (25KG);CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$7,80;91010982;283;INTACO;53
153;BONDEX PREMIUM (25KG);CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$13,33;91010984;805;INTACO;53
154;BONDEX STANDARD (25KG);CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$5,05;91010981;5,444;INTACO;53
155;CAJA RECTANGULAR PLASTIDOR;CONSTRUCCIÓN;ELÉCTRICO;CONSTRUCCIÓN/ELÉCTRICO;$0,56;D91010364;129;PLASTIDOR;53
156;CAJA RECTANGULAR PLASTIGAMA;CONSTRUCCIÓN;ELÉCTRICO;CONSTRUCCIÓN/ELÉCTRICO;$0,89;91002485;32;PLASTIGAMA;53
157;CEMENTO HOLCIM FUERTE TIPO GU SACO 50 KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$8,20;10016416;168;HOLCIM;53
158;CLAVOS PARA MADERA 2 1/2 (2.5 X10) LB.;CONSTRUCCIÓN;VARIOS;CONSTRUCCIÓN/VARIOS;$1,34;91013212;285;OTROS PROVEEDOR;53
159;CLAVOS PARA CONSTRUCCIÓN. 2 1/2 CAJA(25 KG);CONSTRUCCIÓN;VARIOS;CONSTRUCCIÓN/VARIOS;$57,63;188410;7;OTROS PROVEEDOR;53
160;CODO DESAGUE 110MMX90 PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$4,03;925019;2;PLASTIGAMA;53
161;CORREA G 100X50X15X1.8MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$22,53;G010050018;155;OTROS PROVEEDOR;53
162;CORREA G 100X50X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$37,21;G010050030;56;OTROS PROVEEDOR;53
163;CORREA G 125X50X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$46,11;G012550030;30;OTROS PROVEEDOR;53
164;CORREA G 200X50X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$65,09;G020050295;43;OTROS PROVEEDOR;53
165;CORREA G 60x30x10x1.5MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$12,68;G006030015;260;OTROS PROVEEDOR;53
166;CORREA G 60X30X10X1.8 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$13,03;G006030018;551;OTROS PROVEEDOR;53
167;CORREA G 80X40X15X1.5MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$14,77;G008040015;255;OTROS PROVEEDOR;53
168;CORREA G 80X40X15X1.8MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$18,35;G008040020;600;OTROS PROVEEDOR;53
169;CORREA G 80X40X15X3 MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$29,32;G008040030;103;OTROS PROVEEDOR;53
170;CORREA G GALV 80X40X1.8MM;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$28,44;G0080400;68;OTROS PROVEEDOR;53
171;CORREA G GALV. 100X50X15X2;CONSTRUCCIÓN;CORREAS;CONSTRUCCIÓN/CORREAS;$34,02;99352173;72;OTROS PROVEEDOR;53
